participant,condition,window_index,window_start_s,window_end_s,center_face_magnitude_mean_abs_vel,center_face_magnitude_mean_abs_acc,center_face_magnitude_rms,avg_pupil_magnitude_mean_abs_vel,avg_pupil_magnitude_mean_abs_acc,avg_pupil_magnitude_rms,avg_pupil_x_mean_abs_vel,avg_pupil_x_mean_abs_acc,avg_pupil_x_rms,avg_pupil_y_mean_abs_vel,avg_pupil_y_mean_abs_acc,avg_pupil_y_rms,blink_dist_mean_abs_vel,blink_dist_mean_abs_acc,blink_dist_rms,head_rotation_angle_mean_abs_vel,head_rotation_angle_mean_abs_acc,head_rotation_angle_rms,mouth_dist_mean_abs_vel,mouth_dist_mean_abs_acc,mouth_dist_rms,center_face_x_mean_abs_vel,center_face_x_mean_abs_acc,center_face_x_rms,center_face_y_mean_abs_vel,center_face_y_mean_abs_acc,center_face_y_rms
473,L,9,270,329.9833333,0.647853107,29.08794396,0.029844445,0.12271082,2.934408714,0.100653676,0.128232186,3.067641632,0.104270743,0.079527748,2.502463202,0.033929171,0.242037582,9.210482508,0.048248407,0.411502534,16.01457895,0.060362388,0.24554485,9.033808861,0.0537657,0.286590654,11.34304132,0.043477896,0.631690066,23.58760432,0.105155253
473,L,10,300,359.9833333,0.587285138,26.17731904,0.026548447,0.090257544,2.490931786,0.084749048,0.095722345,2.612676793,0.092036655,0.065798481,2.162329442,0.022951979,0.218477336,8.392894894,0.04309797,0.346264035,13.148004,0.062356849,0.201662848,7.716429453,0.044343209,0.253158842,10.10865669,0.042421277,0.575938064,21.60440222,0.083452062
473,L,11,330,389.9833333,0.602863663,27.47104728,0.027360266,0.113369851,2.8333978,0.107575417,0.117270624,3.0570186,0.116698242,0.081327943,2.43509413,0.027696327,0.259903352,9.806878051,0.045883612,0.392167515,14.48432141,0.081490829,0.241981304,8.483072128,0.057891838,0.274151157,10.93231001,0.051466041,0.60362368,22.60553847,0.097176855
473,L,12,360,419.9833333,0.633000171,28.60001736,0.029243958,0.12190345,3.019704625,0.107285655,0.124779755,3.250777019,0.115916797,0.101020149,2.898449164,0.037494302,0.280836398,10.58492509,0.043272506,0.443509289,16.79661621,0.08185379,0.226303535,8.080230386,0.053786876,0.300324183,12.07153709,0.056337732,0.640492151,24.10971956,0.093075695
473,L,13,390,449.9833333,0.645552196,28.59252826,0.030299681,0.102899074,2.85126454,0.099966812,0.108319918,3.0109161,0.106941362,0.092933843,2.69288908,0.036931254,0.247263294,9.505221536,0.0522754,0.4094586,16.00142579,0.076286209,0.175626303,6.839342123,0.039812173,0.291447589,11.78722777,0.045288943,0.643726885,23.73630991,0.094923173
473,L,14,420,479.9833333,0.653961493,28.92344759,0.031184346,0.10606569,2.707436342,0.127176957,0.109056896,2.834920889,0.129688145,0.090357601,2.715985227,0.040948318,0.255506965,9.758295692,0.055531109,0.419920303,16.55117018,0.081393331,0.241042967,8.449008736,0.055446288,0.310584418,12.33319055,0.049280282,0.644423332,23.63375006,0.103435459
457,M,0,0,59.98333333,0.926485602,41.11311165,0.053741214,0.279279496,4.354647703,0.166293003,0.237061398,4.005062567,0.154910488,0.287165089,6.080467929,0.239895752,0.482383715,17.02397741,0.126807364,0.386990488,13.30753208,0.146262733,0.481399154,20.69864646,0.080524824,0.454516551,16.955521,0.119169191,0.632788075,22.49964543,0.144157894
457,M,1,30,89.98333333,0.779289751,34.28885501,0.046259228,0.159861787,3.419458382,0.107248485,0.145240069,3.320266635,0.107753261,0.165403103,4.375164987,0.078362955,0.363542115,13.27285537,0.062673553,0.296495564,11.06448319,0.074696787,0.406415331,17.71143163,0.032158507,0.360503818,13.97273477,0.041597662,0.479197477,17.38953848,0.074580569
457,M,2,60,119.9833333,0.716284132,31.94629222,0.039240694,0.143140723,3.077989203,0.082528332,0.130277601,2.951377027,0.076364245,0.148285738,4.004378575,0.085999416,0.329244581,12.03829616,0.055755359,0.281897342,11.08980029,0.054359946,0.382915414,16.71251371,0.023887594,0.359809396,14.14504081,0.041323734,0.411503111,15.05983023,0.075330543
457,M,3,90,149.9833333,0.77104792,34.19801805,0.043058315,0.169208308,3.301348381,0.103441474,0.150005802,3.148802979,0.101686478,0.16070799,4.15720067,0.093954132,0.347776901,12.65031539,0.065475889,0.314268974,12.21120371,0.060054034,0.484035999,19.01172007,0.144075687,0.393481701,15.36524767,0.050505269,0.450476826,16.74666025,0.089563897
