participant,condition,track_point_accuracy,resman_point_accuracy,sysmon_point_accuracy,comms_point_accuracy,mean_sysmon_response_time,mean_comms_response_time,window_index
446,M,0.2051176227816756,1.0,1.0,0.3333333333333333,2020.0,3.283425000000001,1
446,M,0.3120300751879699,1.0,1.0,0.5,2066.6666666666665,2.5899009999999976,2
446,M,0.2010050251256281,1.0,1.0,1.0,1100.0,2.962097,3
446,M,0.1559748427672956,1.0,1.0,0.0,1200.0,0.0,4
446,M,0.2169378389653734,1.0,0.0,0.0,0.0,0.0,5
446,M,0.1989987484355444,1.0,1.0,1.0,5100.0,3.0709030000000013,6
446,M,0.2858936793637505,1.0,1.0,1.0,3750.0,3.268855000000002,7
446,M,0.3198329853862213,1.0,1.0,0.5,3400.0,2.9558140000000037,8
446,M,0.2187891440501043,1.0,1.0,1.0,3120.0,2.4765519999999697,9
446,M,0.2975893599334996,1.0,1.0,0.0,2475.0,0.0,10
446,M,0.3358239933582399,1.0,1.0,0.0,2472.7272727272725,0.0,11
446,M,0.3867056856187291,1.0,1.0,1.0,2222.222222222222,2.3213814999999727,12
446,M,0.2699540325950689,1.0,1.0,1.0,2300.0,2.3213814999999727,13
446,M,0.3710953769262807,1.0,1.0,0.0,1400.0,0.0,14
416,H,0.8352013283520133,1.0,0.9166666666666666,1.0,3145.4545454545455,3.352226499999999,0
416,H,0.8913857677902621,1.0,1.0,1.0,1600.0,3.046186999999994,1
416,H,0.9143576826196472,1.0,0.8181818181818182,1.0,1400.0,3.1219944999999925,2
416,H,0.8510906040268457,0.9333333333333332,0.8181818181818182,0.0,1720.0,0.0,3
416,H,0.8777403035413154,0.6833333333333333,1.0,0.0,1750.0,0.0,4
416,H,0.8737373737373737,0.7,1.0,0.0,1750.0,0.0,5
416,H,0.87968026924695,0.95,1.0,0.0,2000.0,0.0,6
416,H,0.9903117101937658,1.0,0.0,0.75,0.0,3.474100333333326,7
416,H,0.8786857624262847,0.9666666666666668,1.0,1.0,2000.0,3.442305999999988,8
416,H,0.8389544688026982,0.9,0.8,0.5,2350.0,3.2949689999999805,9
416,H,0.9045416316232128,0.7166666666666667,0.7,0.0,2050.0,0.0,10
416,H,0.8145025295109612,0.6333333333333333,0.75,0.6666666666666666,2320.0,3.62802149999996,11
416,H,0.8509290540540541,0.5333333333333333,0.8888888888888888,1.0,2475.0,3.4983907499999845,12
416,H,0.7872520050654285,0.3833333333333333,1.0,1.0,2300.0,3.3649839999999926,13
416,H,0.7224094355518113,0.5333333333333333,1.0,0.0,2300.0,0.0,14
474,M,0.9750830564784052,1.0,0.8571428571428571,1.0,2533.3333333333335,3.5873283333333306,0
474,M,0.9395581492288454,1.0,1.0,1.0,2066.6666666666665,3.414641999999997,1
474,M,0.7935645633096532,1.0,1.0,0.0,2920.0,0.0,2
474,M,0.7929589270746018,1.0,0.6666666666666666,0.0,2771.4285714285716,0.0,3
474,M,0.8753671842215694,1.0,0.5714285714285714,0.0,2120.0,0.0,4
474,M,0.818752616157388,1.0,1.0,1.0,5000.0,4.274756999999994,5
474,M,0.8874005860192549,1.0,0.6666666666666666,0.5,3300.0,4.479953000000009,6
474,M,0.8523153942428036,1.0,0.5,1.0,1600.0,4.685149000000024,7
474,M,0.7817725752508361,1.0,0.5,0.0,2400.0,0.0,8
474,M,0.7886554621848739,1.0,0.4,0.5,2133.3333333333335,3.4528609999999844,9
474,M,0.7740041928721174,1.0,0.7142857142857143,1.0,3266.6666666666665,3.9074545,10
474,M,0.8353531132469704,1.0,0.8888888888888888,0.4,3975.0,4.513226500000002,11
474,M,0.8862400669176077,1.0,0.75,0.3333333333333333,3866.6666666666665,3.2176829999999654,12
474,M,0.9534981147884374,1.0,0.2,0.0,3500.0,0.0,13
474,M,0.944792973651192,1.0,0.3333333333333333,0.0,5066.666666666667,0.0,14
442,M,1.0,0.7833333333333333,1.0,0.0,1628.571428571429,0.0,0
442,M,0.9917729329494036,0.8166666666666667,1.0,0.0,1066.6666666666667,0.0,1
442,M,0.9916562369628704,1.0,1.0,0.0,1300.0,0.0,2
442,M,1.0,1.0,1.0,0.0,1866.6666666666667,0.0,3
442,M,0.977768456375839,1.0,0.3333333333333333,0.0,2200.0,0.0,4
442,M,0.9280033486814568,1.0,0.3333333333333333,0.0,2000.0,0.0,5
